750.50
Milk, 1.49, 85
Cheese, 2.29, 35
Cream, 1.99, 40
Butter, 2.49, 15 
Yogurt, 1.49, 30
Bread, 1.29, 60
Sugar, 0.99, 10
Eggs, 3.99, 12
Flour, 3.99, 20
Sprinkles, 0.49, 10
Water, 4.99, 24
Bananas, 1.99, 10
Apples, 2.49, 10
Oranges, 2.49, 10
Onions, 2.49, 10
Carrots, 2.99, 10
Mushrooms, 2.49, 10
Toilet Paper, 4.99, 20
Kitchen Paper, 3.49, 15
Tea, 4.99, 24
Coffee, 5.49, 24
Cereal, 3.99, 20
Spaghetti, 0.99, 75
Tomato Sauce, 1.99, 50
Pizza, 2.99, 50
Chips, 2.99, 50
Ice Cream, 1.99, 25
Monster Energy, 2.49, 50
